,name,url,country
0,s1mple,/stats/players/7998/s1mple?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Ukraine
1,ZywOo,/stats/players/11893/zywoo?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,France
2,sh1ro,/stats/players/16920/sh1ro?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
3,degster,/stats/players/17306/degster?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
4,El1an,/stats/players/13281/el1an?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
5,mir,/stats/players/8789/mir?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
6,blameF,/stats/players/15165/blamef?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Denmark
7,Ax1Le,/stats/players/16555/ax1le?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
8,device,/stats/players/7592/device?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Denmark
9,ropz,/stats/players/11816/ropz?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Estonia
10,YEKINDAR,/stats/players/13915/yekindar?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Latvia
11,lollipop21k,/stats/players/13980/lollipop21k?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Belarus
12,Jame,/stats/players/13776/jame?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
13,NiKo,/stats/players/3741/niko?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Bosnia and Herzegovina
14,Hobbit,/stats/players/8528/hobbit?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Kazakhstan
15,xsepower,/stats/players/12733/xsepower?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
16,FL1T,/stats/players/12732/fl1t?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
17,faveN,/stats/players/14932/faven?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Germany
18,stavn,/stats/players/10994/stavn?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Denmark
19,yuurih,/stats/players/12553/yuurih?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Brazil
20,valde,/stats/players/9031/valde?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Denmark
21,syrsoN,/stats/players/7266/syrson?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Germany
22,electronic,/stats/players/8918/electronic?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
23,KSCERATO,/stats/players/15631/kscerato?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Brazil
24,XANTARES,/stats/players/7938/xantares?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Turkey
25,mantuu,/stats/players/10981/mantuu?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,United Kingdom
26,k0nfig,/stats/players/9078/k0nfig?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Denmark
27,dycha,/stats/players/16080/dycha?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Poland
28,Rainwaker,/stats/players/17145/rainwaker?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Bulgaria
29,TeSeS,/stats/players/12018/teses?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Denmark
30,n0rb3r7,/stats/players/16612/n0rb3r7?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
31,slaxz-,/stats/players/15370/slaxz?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Germany
32,KEi,/stats/players/17504/kei?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Poland
33,cadiaN,/stats/players/7964/cadian?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Denmark
34,huNter-,/stats/players/3972/hunter?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Bosnia and Herzegovina
35,dupreeh,/stats/players/7398/dupreeh?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Denmark
36,dennyslaw,/stats/players/13466/dennyslaw?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Bulgaria
37,snatchie,/stats/players/9574/snatchie?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Poland
38,Forester,/stats/players/13982/forester?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
39,stadodo,/stats/players/11205/stadodo?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Portugal
40,frozen,/stats/players/9960/frozen?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Slovakia
41,jks,/stats/players/4679/jks?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Australia
42,niko,/stats/players/10264/niko?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Denmark
43,Krad,/stats/players/12027/krad?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
44,F1KU,/stats/players/19044/f1ku?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Poland
45,Magisk,/stats/players/9032/magisk?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Denmark
46,poizon,/stats/players/12126/poizon?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Bulgaria
47,tabseN,/stats/players/5794/tabsen?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Germany
48,CRUC1AL,/stats/players/7996/cruc1al?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Netherlands
49,sdy,/stats/players/12731/sdy?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Ukraine
50,shox,/stats/players/1225/shox?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,France
51,Lack1,/stats/players/13240/lack1?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Kazakhstan
52,mou,/stats/players/964/mou?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Kazakhstan
53,arT,/stats/players/12521/art?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Brazil
54,ISSAA,/stats/players/10449/issaa?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Jordan
55,kressy,/stats/players/12782/kressy?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Germany
56,magixx,/stats/players/18317/magixx?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
57,Kylar,/stats/players/19114/kylar?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Poland
58,mar,/stats/players/13464/mar?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Bulgaria
59,Qikert,/stats/players/13239/qikert?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Kazakhstan
60,mopoz,/stats/players/9254/mopoz?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Spain
61,NickelBack,/stats/players/11498/nickelback?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
62,MUTiRiS,/stats/players/630/mutiris?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Portugal
63,Jerry,/stats/players/13157/jerry?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
64,JUST,/stats/players/8998/just?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Portugal
65,Aleksib,/stats/players/9816/aleksib?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Finland
66,nafany,/stats/players/16921/nafany?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
67,mynio,/stats/players/4829/mynio?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Poland
68,chopper,/stats/players/7716/chopper?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
69,Jyo,/stats/players/12269/jyo?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Estonia
70,nexa,/stats/players/9618/nexa?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Serbia
71,shokz,/stats/players/16859/shokz?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Estonia
72,alex,/stats/players/8371/alex?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Spain
73,speed4k,/stats/players/13155/speed4k?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
74,Perfecto,/stats/players/16947/perfecto?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
75,AcilioN,/stats/players/8151/acilion?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Denmark
76,ProbLeM,/stats/players/16870/problem?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
77,Surreal,/stats/players/9019/surreal?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,United Kingdom
78,JIaYm,/stats/players/19232/jiaym?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
79,almazer,/stats/players/11654/almazer?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
80,robiin,/stats/players/7700/robiin?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Sweden
81,NBK-,/stats/players/7168/nbk?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,France
82,apEX,/stats/players/7322/apex?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,France
83,kalinka,/stats/players/9410/kalinka?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Lithuania
84,RpK,/stats/players/7169/rpk?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,France
85,Bymas,/stats/players/19015/bymas?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Lithuania
86,Spiidi,/stats/players/7499/spiidi?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Germany
87,boX,/stats/players/13976/box?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Belarus
88,VINI,/stats/players/12822/vini?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Brazil
89,Furlan,/stats/players/8327/furlan?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Poland
90,Keoz,/stats/players/15117/keoz?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Belgium
91,mds,/stats/players/11926/mds?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Belarus
92,misutaaa,/stats/players/14176/misutaaa?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,France
93,denis,/stats/players/7511/denis?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Germany
94,rmn,/stats/players/2241/rmn?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Portugal
95,tiziaN,/stats/players/5796/tizian?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Germany
96,facecrack,/stats/players/8726/facecrack?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
97,k1to,/stats/players/12781/k1to?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Germany
98,oxygeN,/stats/players/18697/oxygen?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Bulgaria
99,interz,/stats/players/15071/interz?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
100,AmaNEk,/stats/players/9616/amanek?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,France
101,Boombl4,/stats/players/11840/boombl4?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Russia
102,Duplicate,/stats/players/16410/duplicate?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Bulgaria
103,neaLaN,/stats/players/11940/nealan?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Kazakhstan
104,Flarich,/stats/players/11250/flarich?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Latvia
105,b0RUP,/stats/players/9896/b0rup?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Denmark
106,SANJI,/stats/players/11716/sanji?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Uzbekistan
107,arki,/stats/players/356/arki?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Spain
108,RUSH,/stats/players/7805/rush?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,United States
109,steel,/stats/players/7382/steel?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,Brazil
110,MiGHTYMAX,/stats/players/8983/mightymax?startDate=2020-05-13&endDate=2021-05-13&rankingFilter=Top50,United Kingdom
